LQFP48,QFN48,LQFP64,QFN64,WLCSP64,LQFP100,VFBGA100,TFBGA100,Signal name,Type,IO,Concat names,I/O Line,Peripheral A,Peripheral B,Peripheral C,Peripheral D,Extra Function,System Function
,,,,,1,,,ADVREF,S,,,,,,,,,
,,,,,2,,,GND,S,,,,,,,,,
,,,,,3,,,PB0/AD4,I/O,,PB0/PWMH0/AD4/RTCOUT0,PB0,PWMH0,,,,AD4/RTCOUT0,
,,,,,4,,,PC29/AD13,I/O,,PC29/A11/TIOA5/AD13,PC29,A11,TIOA5,,,AD13,
,,,,,5,,,PB1/AD5,I/O,,PB1/PWMH1/AD5/RTCOUT1,PB1,PWMH1,,,,AD5/RTCOUT1,
,,,,,6,,,PC30/AD14,I/O,,PC30/A12/TIOB5/AD14,PC30,A12,TIOB5,,,AD14,
,,,,,7,,,PB2/AD6,I/O,,PB2/URXD1/NPCS2/AD6/WKUP12,PB2,URXD1,NPCS2,,,AD6/WKUP12,
,,,,,8,,,PC31,I/O,,PC31/A13/TCLK5,PC31,A13,TCLK5,,,,
,,,,,9,,,PB3/AD7,I/O,,PB3/UTXD1/PCK2/AD7,PB3,UTXD1,PCK2,,,AD7,
,,,,,10,,,VDDIN,S,,,,,,,,,
,,,,,11,,,VDDOUT,S,,,,,,,,,
,,,,,12,,,PA17/PGMD5/AD0,I/O,,PA17/TD/PCK1/PWMH3/AD0,PA17,TD,PCK1,PWMH3,,AD0,
,,,,,13,,,PC26,I/O,,PC26/A8/TIOA4,PC26,A8,TIOA4,,,,
,,,,,14,,,PA18/PGMD6/AD1,I/O,,PA18/RD/PCK2/A14/PWMFI2/AD1,PA18,RD,PCK2,A14,PWMFI2,AD1,
,,,,,15,,,PA21/PGMD9/AD8,I/O,,PA21/RXD1/PCK1/AD8,PA21,RXD1,PCK1,AD8,,,
,,,,,16,,,VDDCORE,S,,,,,,,,,
,,,,,17,,,PC27,I/O,,PC27/A9/TIOB4,PC27,A9,TIOB4,,,,
,,,,,18,,,PA19/PGMD7/AD2,I/O,,PA19/RK/PWML0/A15/AD2/WKUP9,PA19,RK,PWML0,A15,,AD2/WKUP9,
,,,,,19,,,PC15/AD11,I/O,,PC15/NCS1/PWML1/AD11,PC15,NCS1,PWML1,,,AD11,
,,,,,20,,,PA22/PGMD10/AD9,I/O,,PA22/TXD1/NPCS3/NCS2/AD9,PA22,TXD1,NPCS3,NCS2,,AD9,
,,,,,21,,,PC13/AD10,I/O,,PC13/NWAIT/PWML0/AD10,PC13,NWAIT,PWML0,,,AD10,
,,,,,22,,,PA23/PGMD11,I/O,,PA23/SCK1/PWMH0/A19/PIODCCLK,PA23,SCK1,PWMH0,A19,,PIODCCLK,
,,,,,23,,,PC12/AD12,I/O,,PC12/NCS3/AD12,PC12,NCS3,,,,AD12,
,,,,,24,,,PA20/PGMD8/AD3,I/O,,PA20/RF/PWML1/A16/AD3/WKUP10,PA20,RF,PWML1,A16,,AD3/WKUP10,
,,,,,25,,,PC0,I/O,,PC0/D0/PWML0,PC0,D0,PWML0,,,,
,,,,,26,,,GND,S,,,,,,,,,
,,,,,27,,,VDDIO,S,,,,,,,,,
,,,,,28,,,PA16/PGMD4,I/O,,PA16/TK/TIOB1/PWML2/WKUP15/PIODCEN2,PA16,TK,TIOB1,PWML2,,WKUP15/PIODCEN2,
,,,,,29,,,PC7,I/O,,PC7/D7,PC7,D7,,,,,
,,,,,30,,,PA15/PGMD3,I/O,,PA15/TF/TIOA1/PWML3/WKUP14/PIODCEN1,PA15,TF,TIOA1,PWML3,,WKUP14/PIODCEN1,
,,,,,31,,,PA14/PGMD2,I/O,,PA14/SPCK/PWMH3/WKUP8,PA14,SPCK,PWMH3,WKUP8,,,
,,,,,32,,,PC6,I/O,,PC6/D6,PC6,D6,,,,,
,,,,,33,,,PA13/PGMD1,I/O,,PA13/MOSI/PWMH2,PA13,MOSI,PWMH2,,,,
,,,,,34,,,PA24/PGMD12,I/O,,PA24/RTS1/PWMH1/A20/PIODC0,PA24,RTS1,PWMH1,A20,,PIODC0,
,,,,,35,,,PC5,I/O,,PC5/D5,PC5,D5,,,,,
,,,,,36,,,VDDCORE,S,,,,,,,,,
,,,,,37,,,PC4,I/O,,PC4/D4/NPCS1,PC4,D4,NPCS1,,,,
,,,,,38,,,PA25/PGMD13,I/O,,PA25/CTS1/PWMH2/A23/PIODC1,PA25,CTS1,PWMH2,A23,,PIODC1,
,,,,,39,,,PA26/PGMD14,I/O,,PA26/DCD1/TIOA2/MCDA2/PIODC2,PA26,DCD1,TIOA2,MCDA2,,PIODC2,
,,,,,40,,,PC3,I/O,,PC3/D3/PWML3,PC3,D3,PWML3,,,,
,,,,,41,,,PA12/PGMD0,I/O,,PA12/MISO/PWMH1,PA12,MISO,PWMH1,,,,
,,,,,42,,,PA11/PGMM3,I/O,,PA11/NPCS0/PWMH0/WKUP7,PA11,NPCS0,PWMH0,,,WKUP7,
,,,,,43,,,PC2,I/O,,PC2/D2/PWML2,PC2,D2,PWML2,,,,
,,,,,44,,,PA10/PGMM2,I/O,,PA10/UTXD0/NPCS2/PWMFI1,PA10,UTXD0,NPCS2,PWMFI1,,,
,,,,,45,,,GND,S,,,,,,,,,
,,,,,46,,,PA9/PGMM1,I/O,,PA9/URXD0/NPCS1/PWMFI0/WKUP6,PA9,URXD0,NPCS1,PWMFI0,,WKUP6,
,,,,,47,,,PC1,I/O,,PC1/D1/PWML1,PC1,D1,PWML1,,,,
,,,,,48,,,PA8/XOUT32/PGMM0,I/O,,PA8/CTS0/ADTRG/WKUP5/XOUT32,PA8,CTS0,ADTRG,,,WKUP5,XOUT32
,,,,,49,,,PA7/XIN32/PGMNVALID,I/O,,PA7/RTS0/PWMH3/XIN32,PA7,RTS0,PWMH3,,,,XIN32
,,,,,50,,,VDDIO,S,,,,,,,,,
,,,,,51,,,TDI/PB4,I/O,,PB4/TWD1/PWMH2/TDI,PB4,TWD1,PWMH2,,,,TDI
,,,,,52,,,PA6/PGMNOE,I/O,,PA6/TXD0/PCK0,PA6,TXD0,PCK0,,,,
,,,,,53,,,PA5/PGMRDY,I/O,,PA5/RXD0/NPCS3/WKUP4,PA5,RXD0,NPCS3,,,WKUP4,
,,,,,54,,,PC28,I/O,,PC28/A10/TCLK4,PC28,A10,TCLK4,,,,
,,,,,55,,,PA4/PGMNCMD,I/O,,PA4/TWCK0/TCLK0/WKUP3,PA4,TWCK0,TCLK0,,,WKUP3,
,,,,,56,,,VDDCORE,S,,,,,,,,,
,,,,,57,,,PA27/PGMD15,I/O,,PA27/DTR1/TIOB2/MCDA3/PIODC3,PA27,DTR1,TIOB2,MCDA3,,PIODC3,
,,,,,58,,,PC8,I/O,,PC8/NWE,PC8,NWE,,,,,
,,,,,59,,,PA28,I/O,,PA28/DSR1/TCLK1/MCCDA/PIODC4,PA28,DSR1,TCLK1,MCCDA,,PIODC4,
,,,,,60,,,NRST,S,,,,,,,,,
,,,,,61,,,TST,S,,,,,,,,,
,,,,,62,,,PC9,I/O,,PC9/NANDOE,PC9,NANDOE,,,,,
,,,,,63,,,PA29,I/O,,PA29/RI1/TCLK2/MCCK/PIODC5,PA29,RI1,TCLK2,MCCK,,PIODC5,
,,,,,64,,,PA30,I/O,,PA30/PWML2/NPCS2/MCDA0/WKUP11/PIODC6,PA30,PWML2,NPCS2,MCDA0,,WKUP11/PIODC6,
,,,,,65,,,PC10,I/O,,PC10/NANDWE,PC10,NANDWE,,,,,
,,,,,66,,,PA3,I/O,,PA3/TWD0/NPCS3,PA3,TWD0,NPCS3,,,,
,,,,,67,,,PA2/PGMEN2,I/O,,PA2/PWMH2/SCK0/DATRG/WKUP2,PA2,PWMH2,SCK0,DATRG,,WKUP2,
,,,,,68,,,PC11,I/O,,PC11/NRD,PC11,NRD,,,,,
,,,,,69,,,VDDIO,S,,,,,,,,,
,,,,,70,,,GND,S,,,,,,,,,
,,,,,71,,,PC14,I/O,,PC14/NCS0,PC14,NCS0,,,,,
,,,,,72,,,PA1/PGMEN1,I/O,,PA1/PWMH1/TIOB0/A18/WKUP1,PA1,PWMH1,TIOB0,A18,,WKUP1,
,,,,,73,,,PC16,I/O,,PC16/A21/NANDALE,PC16,A21/NANDALE,,,,,
,,,,,74,,,PA0/PGMEN0,I/O,,PA0/PWMH0/TIOA0/A17/WKUP0,PA0,PWMH0,TIOA0,A17,,WKUP0,
,,,,,75,,,PC17,I/O,,PC17/A22/NANDCLE,PC17,A22/NANDCLE,,,,,
,,,,,76,,,TDO/TRACESWO/PB5,I/O,,PB5/TWCK1/PWML0/WKUP13/TDO/TRACESWO,PB5,TWCK1,PWML0,,,WKUP13,TDO/TRACESWO
,,,,,77,,,JTAGSEL,S,,,,,,,,,
,,,,,78,,,PC18,I/O,,PC18/A0/PWMH0,PC18,A0,PWMH0,,,,
,,,,,79,,,TMS/SWDIO/PB6,I/O,,PB6/TMS/SWDIO,PB6,,,,,,TMS/SWDIO
,,,,,80,,,PC19,I/O,,PC19/A1/PWMH1,PC19,A1,PWMH1,,,,
,,,,,81,,,PA31,I/O,,PA31/NPCS1/PCK2/MCDA1/PIODC7,PA31,NPCS1,PCK2,MCDA1,,PIODC7,
,,,,,82,,,PC20,I/O,,PC20/A2/PWMH2,PC20,A2,PWMH2,,,,
,,,,,83,,,TCK/SWCLK/PB7,I/O,,PB7/TCK/SWCLK,PB7,,,,,,TCK/SWCLK
,,,,,84,,,PC21,I/O,,PC21/A3/PWMH3,PC21,A3,PWMH3,,,,
,,,,,85,,,VDDCORE,S,,,,,,,,,
,,,,,86,,,PC22,I/O,,PC22/A4/PWML3,PC22,A4,PWML3,,,,
,,,,,87,,,ERASE/PB12,I/O,,PB12/PWML1/ERASE,PB12,PWML1,,,,,ERASE
,,,,,88,,,DDM/PB10,I/O,,PB10/DDM,PB10,,,,,,DDM
,,,,,89,,,DDP/PB11,I/O,,PB11/DDP,PB11,,,,,,DDP
,,,,,90,,,PC23,I/O,,PC23/A5/TIOA3,PC23,A5,TIOA3,,,,
,,,,,91,,,VDDIO,S,,,,,,,,,
,,,,,92,,,PC24,I/O,,PC24/A6/TIOB3,PC24,A6,TIOB3,,,,
,,,,,93,,,PB13/DAC0,I/O,,PB13/PWML2/PCK0/DAC0,PB13,PWML2,PCK0,,,DAC0,
,,,,,94,,,PC25,I/O,,PC25/A7/TCLK3,PC25,A7,TCLK3,,,,
,,,,,95,,,GND,S,,,,,,,,,
,,,,,96,,,PB8/XOUT,I/O,,PB8/XOUT,PB8,,,,,,XOUT
,,,,,97,,,PB9/PGMCK/XIN,I/O,,PB9/XIN,PB9,,,,,,XIN
,,,,,98,,,VDDIO,S,,,,,,,,,
,,,,,99,,,PB14/DAC1,I/O,,PB14/NPCS1/PWMH3/DAC1,PB14,NPCS1,PWMH3,,,DAC1,
,,,,,100,,,VDDPLL,S,,,,,,,,,
